antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,1,7,1,1,3.0,1,1.0,0,5.0
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,2,2,2,2,2,3.0,2,1.0,46,1.0
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,3,3,3,3,3,3.0,2,1.0,46,1.0
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,4,7,4,4,3.0,3,1.0,46,2.0
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,5,7,5,5,3.0,2,2.0,46,3.0
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,2,6,2,6,6,2.0,1,3.0,46,3.0
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4,2,7,2,7,7,2.0,2,1.0,0,8.0
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,6,8,3,8,8,2.0,2,4.0,46,9.0
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1,6,9,7,9,9,2.0,2,5.0,46,1.0
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,2,10,7,10,10,2.0,2,2.0,0,9.0
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,4,11,7,11,11,1.0,3,3.0,0,1.0
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,5,12,1,12,12,1.0,2,1.0,0,1.0
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,6,13,3,13,13,1.0,2,4.0,46,1.0
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,7,14,7,14,3,1.0,4,,0,1.0
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,7,15,7,15,13,1.0,4,,0,3.0
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,7,16,7,16,5,0.0,4,,0,3.0
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,17,1,17,9,0.0,2,,46,4.0
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,1,18,2,18,2,0.0,2,,46,4.0
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,3,19,7,19,8,0.0,1,,46,1.0
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,3,20,4,20,5,0.0,1,,46,4.0
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2,1,21,1,21,14,0.0,2,,46,1.0
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,7,22,1,22,15,0.0,2,,46,1.0
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2,8,23,2,23,4,0.0,3,,46,6.0
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,7,24,1,24,9,0.0,2,,46,1.0
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,1,25,7,25,10,,4,,0,1.0
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5,7,26,7,26,3,,2,,0,2.0
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,7,26,7,26,3,,2,,0,2.0
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,7,27,7,27,7,,2,,46,2.0
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1,1,28,7,28,6,,2,,46,1.0
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,4,29,2,29,16,,3,,46,
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,1,30,7,30,10,,4,,0,
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,1,31,7,31,5,,4,,46,
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,2,32,2,32,4,,2,,0,
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,8,33,5,33,9,,5,,46,
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1,3,34,1,34,3,,2,,46,
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,3,35,3,35,10,,2,,0,
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,2,36,7,36,5,,2,,46,
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,2,37,7,37,11,,2,,46,
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6,1,38,7,38,3,,2,,46,
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,3,39,3,39,17,,2,,46,
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,5,40,7,40,18,,4,,46,
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,5,41,7,41,12,,4,,46,
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,1,42,7,42,13,,3,,46,
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,5,43,7,43,9,,4,,46,
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,2,44,1,44,4,,2,,46,
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,4,45,7,45,5,,3,,46,
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,4,46,6,46,13,,3,,46,
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,3,47,7,47,10,,4,,46,
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,1,48,7,48,4,,2,,46,
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,7,49,7,49,5,,2,,0,
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,1,50,7,50,11,,2,,46,
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5,2,51,5,51,13,,2,,46,
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,5,52,7,52,3,,4,,46,
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,7,53,7,53,4,,2,,0,
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,3,54,7,54,7,,4,,46,
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2,1,55,7,55,6,,2,,46,
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,9,56,2,56,9,,3,,46,
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,4,57,7,57,14,,2,,46,
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,1,58,1,58,12,,2,,46,
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,10,59,1,59,5,,2,,46,
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,2,60,1,60,3,,2,,46,
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,6,61,7,61,10,,2,,0,
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1,6,62,3,62,4,,2,,46,
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,9,63,7,63,18,,2,,46,
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,7,64,7,64,5,,2,,46,
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,65,7,65,19,,2,,46,
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,2,66,2,66,4,,2,,46,
