0,27,29,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,column_17
aardvark,1,1,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
antelope,2,2,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
bass,3,3,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
bear,4,4,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
boar,4,5,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
buffalo,2,6,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
calf,2,4,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
carp,3,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
catfish,3,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
cavy,2,4,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1
cheetah,5,5,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
chicken,4,7,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
chub,3,3,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
clam,6,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7
crab,6,4,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7
crayfish,6,4,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
crow,7,7,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
deer,2,2,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
dogfish,3,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
dolphin,3,7,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
dove,2,7,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
duck,4,7,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
elephant,2,2,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
flamingo,2,2,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
flea,1,1,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
frog,1,7,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
frog,1,7,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5
fruitbat,2,1,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
giraffe,2,2,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
girl,2,2,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1
gnat,1,1,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
goat,2,4,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
gorilla,2,4,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1
gull,7,7,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
haddock,3,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
hamster,4,4,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
hare,2,2,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
hawk,5,2,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
herring,3,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
honeybee,2,1,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6
